Date,Close/Last,Volume,Open,High,Low
05/03/2024,$3.69,13590940,$3.71,$3.73,$3.68
05/02/2024,$3.67,12286580,$3.70,$3.71,$3.6325
05/01/2024,$3.65,14451980,$3.65,$3.71,$3.625
04/30/2024,$3.65,9779205,$3.65,$3.68,$3.63
04/29/2024,$3.68,14068840,$3.67,$3.70,$3.66
04/26/2024,$3.65,11129680,$3.68,$3.6951,$3.65
04/25/2024,$3.64,19352700,$3.60,$3.66,$3.5901
04/24/2024,$3.65,13129940,$3.66,$3.68,$3.63
04/23/2024,$3.68,17830760,$3.58,$3.69,$3.56
04/22/2024,$3.69,21685450,$3.66,$3.73,$3.63
04/19/2024,$3.52,17395340,$3.49,$3.55,$3.48
04/18/2024,$3.45,21249130,$3.37,$3.45,$3.36
04/17/2024,$3.33,21438810,$3.36,$3.36,$3.30
04/16/2024,$3.33,35270080,$3.37,$3.3899,$3.32
04/15/2024,$3.30,21447380,$3.39,$3.4075,$3.29
04/12/2024,$3.33,10113560,$3.39,$3.3975,$3.33
04/11/2024,$3.42,10629300,$3.46,$3.48,$3.41
04/10/2024,$3.42,18180460,$3.48,$3.48,$3.40
04/09/2024,$3.50,10091300,$3.48,$3.53,$3.48
04/08/2024,$3.48,18404890,$3.50,$3.51,$3.47
04/05/2024,$3.49,14833250,$3.51,$3.52,$3.46
04/04/2024,$3.53,7926594,$3.61,$3.62,$3.52
04/03/2024,$3.58,20457820,$3.51,$3.60,$3.50
04/02/2024,$3.50,12316250,$3.53,$3.53,$3.49
04/01/2024,$3.50,7634259,$3.55,$3.57,$3.49
03/28/2024,$3.54,14526750,$3.56,$3.60,$3.54
03/27/2024,$3.60,15118710,$3.56,$3.63,$3.55
03/26/2024,$3.54,13318240,$3.55,$3.58,$3.53
03/25/2024,$3.52,9013614,$3.555,$3.57,$3.52
03/22/2024,$3.58,21461080,$3.57,$3.59,$3.555
03/21/2024,$3.58,13891350,$3.58,$3.60,$3.57
03/20/2024,$3.59,15973990,$3.51,$3.59,$3.49
03/19/2024,$3.52,14455720,$3.49,$3.53,$3.48
03/18/2024,$3.48,23497920,$3.59,$3.60,$3.47
03/15/2024,$3.69,15936910,$3.70,$3.70,$3.66
03/14/2024,$3.66,14188840,$3.69,$3.70,$3.64
03/13/2024,$3.67,23540380,$3.615,$3.68,$3.61
03/12/2024,$3.66,12719460,$3.64,$3.66,$3.61
03/11/2024,$3.63,16120390,$3.61,$3.64,$3.60
03/08/2024,$3.62,15512930,$3.64,$3.65,$3.61
03/07/2024,$3.70,15950060,$3.685,$3.72,$3.66
03/06/2024,$3.67,17672480,$3.56,$3.68,$3.56
03/05/2024,$3.52,8923618,$3.60,$3.61,$3.52
03/04/2024,$3.61,11121660,$3.59,$3.62,$3.57
03/01/2024,$3.56,9023947,$3.52,$3.56,$3.51
02/29/2024,$3.53,14380400,$3.55,$3.5655,$3.52
02/28/2024,$3.56,9237796,$3.56,$3.58,$3.55
02/27/2024,$3.57,13922790,$3.515,$3.58,$3.51
02/26/2024,$3.53,11954780,$3.52,$3.54,$3.505
02/23/2024,$3.54,6502186,$3.56,$3.5675,$3.53
02/22/2024,$3.58,13199130,$3.53,$3.58,$3.528
02/21/2024,$3.53,16189580,$3.50,$3.54,$3.48
02/20/2024,$3.49,9580325,$3.51,$3.52,$3.4725
