,date,price
522,2017-02-09,8778.4
523,2017-02-10,8793.55
524,2017-02-13,8805.05
525,2017-02-14,8792.3
526,2017-02-15,8724.7
527,2017-02-16,8778.0
528,2017-02-17,8821.7
529,2017-02-20,8879.2
530,2017-02-21,8907.85
531,2017-02-22,8926.9
532,2017-02-23,8939.5
533,2017-02-27,8896.7
534,2017-02-28,8879.6
535,2017-03-01,8945.8
536,2017-03-02,8899.75
537,2017-03-03,8897.55
538,2017-03-06,8963.45
539,2017-03-07,8946.9
540,2017-03-08,8924.3
541,2017-03-09,8927.0
542,2017-03-10,8934.55
543,2017-03-14,9087.0
544,2017-03-15,9084.8
545,2017-03-16,9153.7
546,2017-03-17,9160.05
547,2017-03-20,9126.85
548,2017-03-21,9121.5
549,2017-03-22,9030.45
550,2017-03-23,9086.3
551,2017-03-24,9108.0
552,2017-03-27,9045.2
553,2017-03-28,9100.8
554,2017-03-29,9143.8
555,2017-03-30,9173.75
556,2017-03-31,9173.75
557,2017-04-03,9237.85
558,2017-04-05,9265.15
559,2017-04-06,9261.95
560,2017-04-07,9198.3
561,2017-04-10,9181.45
562,2017-04-11,9237.0
563,2017-04-12,9203.45
564,2017-04-13,9150.8
565,2017-04-17,9139.3
566,2017-04-18,9105.15
567,2017-04-19,9103.5
568,2017-04-20,9136.4
569,2017-04-21,9119.4
570,2017-04-24,9217.95
571,2017-04-25,9306.6
572,2017-04-26,9351.85
573,2017-04-27,9342.15
574,2017-04-28,9304.05
575,2017-05-02,9313.8
576,2017-05-03,9311.95
577,2017-05-04,9359.9
578,2017-05-05,9285.3
579,2017-05-08,9314.05
580,2017-05-09,9316.85
581,2017-05-10,9407.3
582,2017-05-11,9422.4
583,2017-05-12,9400.9
584,2017-05-15,9445.4
585,2017-05-16,9512.25
586,2017-05-17,9525.75
587,2017-05-18,9429.45
588,2017-05-19,9427.9
589,2017-05-22,9438.25
590,2017-05-23,9386.15
591,2017-05-24,9360.55
592,2017-05-25,9509.75
593,2017-05-26,9595.1
594,2017-05-29,9604.9
595,2017-05-30,9624.55
596,2017-05-31,9621.25
597,2017-06-01,9616.1
598,2017-06-02,9653.5
599,2017-06-05,9675.1
600,2017-06-06,9637.15
601,2017-06-07,9663.9
602,2017-06-08,9647.25
603,2017-06-09,9668.25
604,2017-06-12,9616.4
605,2017-06-13,9606.9
606,2017-06-14,9618.15
607,2017-06-15,9578.05
608,2017-06-16,9588.05
609,2017-06-19,9657.55
610,2017-06-20,9653.5
611,2017-06-21,9633.6
612,2017-06-22,9630.0
613,2017-06-23,9574.95
614,2017-06-27,9511.4
615,2017-06-28,9491.25
616,2017-06-29,9504.1
617,2017-06-30,9520.9
618,2017-07-03,9615.0
619,2017-07-04,9613.3
620,2017-07-05,9637.6
621,2017-07-06,9674.55
622,2017-07-07,9665.8
623,2017-07-10,9771.05
624,2017-07-11,9786.05
625,2017-07-12,9816.1
626,2017-07-13,9891.7
627,2017-07-14,9886.35
628,2017-07-17,9915.95
629,2017-07-18,9827.15
